id,name,category,description,unit,baseCost,laborHours
uf_cable_12_2,12/2 UF Cable,Wire,12 AWG 2-conductor UF-B underground cable,ft,1.25,0.012
uf_cable_10_2,10/2 UF Cable,Wire,10 AWG 2-conductor UF-B underground cable,ft,2.15,0.014
ser_cable_2_2_2_4,2-2-2-4 SER Cable,Wire,2-2-2-4 AWG service entrance cable,ft,4.95,0.020
ser_cable_4_4_4_6,4-4-4-6 SER Cable,Wire,4-4-4-6 AWG service entrance cable,ft,6.50,0.022
thhn_4_wh,4 AWG THHN White,Wire,4 AWG THHN/THWN-2 stranded white,ft,2.95,0.016
thhn_4_rd,4 AWG THHN Red,Wire,4 AWG THHN/THWN-2 stranded red,ft,2.95,0.016
thhn_2_wh,2 AWG THHN White,Wire,2 AWG THHN/THWN-2 stranded white,ft,4.50,0.018
thhn_2_rd,2 AWG THHN Red,Wire,2 AWG THHN/THWN-2 stranded red,ft,4.50,0.018
alarm_wire_22_2,22/2 Alarm Wire,Wire,22 AWG 2-conductor alarm cable solid,ft,0.18,0.006
alarm_wire_18_2,18/2 Alarm Wire,Wire,18 AWG 2-conductor alarm cable solid,ft,0.24,0.008
coax_rg59,RG59 Coax Cable,Data,RG59 coaxial cable for CCTV,ft,0.18,0.008
fiber_patch_sm,Fiber Patch Cable SM,Data,Single mode fiber optic patch cable LC-LC,ea,32.00,0
fiber_patch_mm,Fiber Patch Cable MM,Data,Multi mode fiber optic patch cable LC-LC,ea,28.00,0
hdmi_cable_6ft,HDMI Cable 6ft,Data,High speed HDMI cable 6 foot,ea,12.00,0
usb_outlet_plate,USB Outlet Plate,Covers,Decorator USB outlet wall plate,ea,0.95,0.05
gfci_plate,GFCI Wall Plate,Covers,GFCI decorator wall plate,ea,0.75,0.05
dryer_plate,Dryer Outlet Plate,Covers,Surface mount dryer outlet cover plate,ea,3.50,0.05
range_plate,Range Outlet Plate,Covers,Surface mount range outlet cover plate,ea,4.25,0.05
blank_plate_1g,1-Gang Blank Plate,Covers,Single gang blank wall plate,ea,0.35,0.03
blank_plate_2g,2-Gang Blank Plate,Covers,2-gang blank wall plate,ea,0.65,0.03
stainless_plate_1g,Stainless Steel Plate 1G,Covers,Stainless steel 1-gang wall plate,ea,8.50,0.05
weather_cover_vert,Weatherproof Cover Vertical,Covers,Weatherproof in-use cover vertical,ea,18.00,0.15
weather_cover_horiz,Weatherproof Cover Horizontal,Covers,Weatherproof in-use cover horizontal,ea,22.00,0.15
mud_ring_1g,1-Gang Mud Ring,Boxes,Single gang raised plaster ring 1/2 inch,ea,1.85,0.08
mud_ring_2g,2-Gang Mud Ring,Boxes,2-gang raised plaster ring 1/2 inch,ea,2.95,0.10
nail_on_box_deep,Deep 1-Gang Nail On,Boxes,Deep single gang new work box 3-1/2 inch,ea,2.25,0.18
ceiling_pan,Ceiling Pan 4 Inch,Boxes,4 inch steel ceiling outlet pan box,ea,3.95,0.22
box_ext_1g,1-Gang Box Extension,Boxes,Single gang box extension ring,ea,2.25,0.10
box_gangable,Gangable Switch Box,Boxes,Gangable steel switch box with ears,ea,2.85,0.15
pvc_1900_box,PVC 1900 Box,Boxes,PVC 1900 utility box 4x4,ea,4.50,0.20
metal_1900_box,Metal 1900 Box,Boxes,Steel 1900 utility box 4x4,ea,3.95,0.20
floor_box_brass,Floor Box Brass Deep,Boxes,Deep floor box assembly brass finish,ea,125.00,2.00
wiremold_channel,Wiremold 500 Channel,Raceway,Wiremold 500 series raceway channel 5ft,ea,18.00,0.40
wiremold_elbow,Wiremold 500 Elbow,Raceway,Wiremold 500 series flat elbow,ea,3.95,0.08
wiremold_coupling,Wiremold 500 Coupling,Raceway,Wiremold 500 series coupling connector,ea,2.25,0.05
surface_raceway_6ft,Surface Raceway 6ft,Raceway,Surface mount cable raceway 6 foot,ea,12.00,0.30
raceway_elbow_int,Raceway Internal Elbow,Raceway,Surface raceway internal corner elbow,ea,2.85,0.06
raceway_end_cap,Raceway End Cap,Raceway,Surface raceway end cap fitting,ea,1.25,0.03
led_bulb_a19_60w,LED A19 Bulb 60W Equiv,Bulbs,LED A19 bulb 60W equivalent 800 lumens,ea,3.50,0
